user_id,edad,sexo,estado_civil,numero_hijos,empleo_formal,ingreso_mensual,linea_credito,credito_utilizado,frecuencia_ahorro,monto_promedio_ahorro,perfil_financiero
1,58,M,Soltero,2,0,37256,30000,24132,Baja,1117.68,En riesgo
2,31,M,Divorciado,1,1,61354,30000,3090,Baja,1840.62,En observacion
3,29,F,Divorciado,1,1,28866,15000,6267,Alta,6350.52,En observacion
4,19,F,Unión libre,3,0,69261,30000,20390,Media,6926.1,En riesgo
5,62,M,Divorciado,0,0,45268,80000,62746,Media,4526.8,En riesgo
6,35,M,Unión libre,3,1,23915,15000,10322,Media,2391.5,En riesgo
7,58,F,Unión libre,3,1,34111,80000,63335,Baja,1023.33,En riesgo
8,50,M,Divorciado,4,0,13683,120000,39535,Media,1368.3,En observacion
9,49,F,Divorciado,2,0,75154,15000,5655,Media,7515.4,En observacion
10,36,F,Casado,2,0,26537,50000,20331,Alta,5838.14,En observacion
11,68,M,Unión libre,1,0,51583,30000,1452,Media,5158.3,En observacion
12,26,F,Soltero,3,1,75811,50000,8410,Alta,16678.42,Saludable
13,27,M,Soltero,4,0,33006,15000,7225,Media,3300.6,En observacion
14,70,F,Unión libre,0,1,20502,30000,4607,Media,2050.2,En observacion
15,26,F,Casado,4,1,50030,30000,9888,Alta,11006.6,En observacion
16,21,M,Casado,0,1,64873,50000,37083,Alta,14272.06,En riesgo
17,37,F,Casado,3,1,31283,80000,41830,Baja,938.49,En observacion
18,54,F,Soltero,4,0,43112,120000,107909,Alta,9484.64,En riesgo
19,65,F,Unión libre,0,0,72865,80000,14777,Baja,2185.95,En observacion
20,46,F,Unión libre,3,0,78244,50000,13607,Media,7824.4,En observacion
21,26,M,Divorciado,3,1,30833,120000,90906,Alta,6783.26,En riesgo
22,52,F,Divorciado,2,1,71646,120000,79817,Media,7164.6,En riesgo
23,61,M,Soltero,3,1,42003,80000,53031,Media,4200.3,En riesgo
24,42,F,Soltero,4,0,22170,15000,790,Media,2217.0,En observacion
25,70,M,Unión libre,4,0,67796,50000,23812,Alta,14915.12,En observacion
26,32,F,Casado,1,1,66827,30000,22369,Baja,2004.81,En riesgo
27,65,F,Unión libre,1,1,56906,15000,9068,Alta,12519.32,En riesgo
28,42,F,Unión libre,4,0,75720,50000,24663,Alta,16658.4,En observacion
29,29,F,Divorciado,2,1,53135,80000,18096,Alta,11689.7,Saludable
30,29,M,Divorciado,1,0,39726,50000,13551,Baja,1191.78,En observacion
31,44,M,Casado,0,0,38753,50000,48750,Media,3875.3,En riesgo
32,37,F,Unión libre,3,0,51286,15000,13820,Media,5128.6,En riesgo
33,20,F,Divorciado,4,1,14433,50000,14465,Media,1443.3,En observacion
